source_site,family,action,destination,h1,title,meta_description,text_length,url
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/emve,eMVe - Vitaminy bez obalu,"eMVe - Vitaminy bez obalu | VITAR, s.r.o.","Vitaminy a minerální látky eMVe nabízí kvalitní doplňky stravy, které přispívají ke správnému fungování imunitního systému. Nabízí alternativu v základních doplňcích i zákazníkovi, který musí řešit finanční otázku a chce se zároveň postarat o své zdraví.",2828,https://www.vitar.cz/znacky/emve/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/vitar,Vitar - Vitaminy pro celou rodinu,"Vitar - Vitaminy pro celou rodinu | VITAR, s.r.o.","Vitar nabízí široké portfolio vitaminů, minerálních látek a dalších doplňků stravy ve vysoké kvalitě, pro které je typické komplexní složení, silná dávka účinných látek, jednotný moderní design. Pod značkou Vitar najdete vitaminové doplňky ve formě polykacích tablet a kapslí, moderní a uživatelsky příjemné doplňky stravy v jednorázových sáčcích (tzv. stick pack), ale také produkty na ošetření pokožky, tradiční Vitar sodu proti pálení žáhy nebo čistý vitamin C v prášku. V roce 2020 přibyla nová produktová podřada Vitar EKO Friendly. Ta klade důraz nejen na kvalitu jednotlivých produktů, ale také na ochranu životního prostředí. V roce 2021 navíc vznikla podřada vitaminů Vitar Kids, které pomáhají řešit slabá místa ve výživě školáků doplňováním důležitých látek.",4082,https://www.vitar.cz/znacky/vitar/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/vitar/vitar-kids,Vitar Kids - Hustý vitaminy pro školáky,"Vitar Kids - Hustý vitaminy pro školáky | VITAR, s.r.o.","Vitar Kids - hustý vitaminy pro školáky. Řada dětských vitaminů Vitar Kids obsahuje výrobky na podporu imunitního systému, snížení míry únavy a vyčerpání (Vitar Kids Multivitamin želé, Vitar Kids Multivitamin + kolostrum, Vitar Kids Multivitamin šumivé tablety), normální činnosti mozku, zraku a srdeční činnosti (Vitar Kids Omega 3 + vitaminy D3 a E). U rodičů jsou velmi oblíbené kvůli obsahu látek přínosných pro vývoj dětí a dětem zase skvěle chutnají.",3089,https://www.vitar.cz/znacky/vitar/vitar-kids/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/ovoce,OvoCé - Osvěží celou rodinu,"OvoCé - Osvěží celou rodinu | VITAR, s.r.o.","OvoCé je nápoj pro celou rodinu a pro každou příležitost. Snadná a rychlá příprava, výborná a osvěžující chuť. Obsahuje 150 % doporučené denní dávky vitaminu C, E, D a zinku. Bez konzervantů, laktózy a lepku. Dostatečný pitný režim je základem pro fyzickou výkonnost, schopnost koncentrace a pro zdravý životní styl. Sáčky se směsí pro přípravu lahodného nápoje můžete mít navíc vždy po ruce.",2624,https://www.vitar.cz/znacky/ovoce/
vitar.cz,brand_landing,move_to_veterina_shop,dedicated VITAR Veterina e-shop / domain TBD,Vitar Veterinae - Pro vaše zvířecí miláčky,"Vitar Veterinae - Pro vaše zvířecí miláčky | VITAR, s.r.o.","Dceřiná společnost VITAR Veterinae nabízí veterinárními přípravky pro vaše zvířecí miláčky čítající preparáty na klouby a zuby, vitaminy a minerály, oleje nebo antiparazitální přípravky a šampony.",3159,https://www.vitar.cz/znacky/veterinae/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/pro-deti,Pro děti a školáky,"Pro děti a školáky | VITAR, s.r.o.","Dětský organizmus má své specifické požadavky na vitaminy a minerální látky, které by měly doplňky stravy pro děti respektovat. Zároveň je mnohdy složité děti přimět k pravidelnému užívání vitaminů a minerálů. Proto jsou naše dětské doplňky stravy sestavené přesně na míru dětem a zároveň chutné a dostatečně atraktivní. Naší vlajkovou lodí jsou dětské vitaminy plné chuti Vitar Kids a oblíbená dětská pitíčka Capri-Sun, která nabízejí zábavu a osvěžení pro všechny děti. Dále v této kategorii doplňků stravy nabízíme vitaminy a minerály v podobě legendárních vitaminových tablet Energit nebo Bylinný elixír Karlík s obsahem přírodních bylinných extraktů a vitaminů. Součástí naší nabídky jsou i dětské repelenty Predator Junior sloužící jako ochrana před dotěrným a nebezpečným hmyzem, které mohou děti využít už od 1. roku.",3758,https://www.vitar.cz/produkty/pro-deti/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/pamet-koncentrace,"Paměť, koncentrace","Paměť, koncentrace | VITAR, s.r.o.","Jak zlepšit paměť a koncentraci? Tuhle otázku si kladou lidé starší, u kterých vlivem stárnutí dochází ke změnám ve schopnosti pamatovat si věci, i ti mladší, kteří jsou vystaveni situacím, ve kterých si potřebují pamatovat velké množství informací v krátkém čase, například ve škole. Paměť i koncentraci lze účinně trénovat a pomáhají také nejrůznější přírodní látky, které najdete buď v potravinách, nebo v doplňcích stravy. My nabízíme kvalitní doplňky stravy obsahující extrakt ginkgo biloba, který je bohatý na spoustu aktivních látek, mezi nimiž jsou flavony a laktony. Ty jsou důležité pro kognitivní funkce, zejména pro myšlenkové pochody (paměť, koncentrace, pozornost). Na činnosti mozku se podílí také nenasycené mastné kyseliny EPA a DHA, které známe spíše pod souhrnným názvem Omega 3.",3694,https://www.vitar.cz/produkty/pamet-koncentrace/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/zrak,Zrak,"Zrak | VITAR, s.r.o.","Zrak je jedním z našich nejdůležitějších smyslů, přesto ho denně zatěžujeme a často i nadměrně namáháme. Negativní vliv na náš zrak může mít i nevhodné osvětlení, stres, kouření či znečištěné ovzduší. Našim očím pomáhají nejrůznější vitaminy a minerální látky, na které je dobré myslet při skladbě vašeho jídelníčku, chybějící látky ale můžete tělu dodat i formou doplňků stravy. Příznivý vliv na funkci očí může mít například pravidelný příjem karotenoidů luteinu a zeaxantinu, velmi prospěšný pro zdravý zrak je i extrakt z borůvek nebo zinek, který přispívá k udržení správného stavu zraku a normálním rozpoznávacím funkcím. Všechny tyto látky najdete v našich doplňcích stravy vhodných pro váš zrak.",3078,https://www.vitar.cz/produkty/zrak/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/pitny-rezim,Pitný režim,"Pitný režim | VITAR, s.r.o.","Doplňovat tekutiny musí každý, náš organizmus vodu potřebuje k mnoha činnostem – regulaci tělesné teploty, udržování správné funkce ledvin i optimální hustoty krve, stejně jako k zásobování tkáně kyslíkem a přivádění energie do svalů nebo odvodu látek z těla ven. Pít a dodržovat pitný režim je zkrátka důležité. Dobrým řešením pitného režimu pro děti jsou třeba dětmi oblíbená pitíčka Capri-Sun s podílem ovocné šťávy, která nepřekyselují organismus a díky svému originálnímu obalu si jejich obsah udrží delší dobu příjemnou teplotu. Jejich chuť je navíc pro děti velkým lákadlem a snadno je tak přimějete pít, když vodu odmítají. Pitný režim je vhodné doplnit i příjmem vitaminů a minerálních látek, které našemu tělu také prospívají. Výbornou volbu tak představují třeba instantní nápoje pro celou rodinu OvoCé, které nabízejí příjemné a chutné osvěžení v kombinaci s vitaminy. Sáhnout můžete také po šumivých vitaminových nápojích Maxi Vita nebo Revital, v zimních měsících pak jistě oceníte Maxi Vita Horké nápoje s obsahem vitaminů a bylinných extraktů.",4032,https://www.vitar.cz/produkty/pitny-rezim/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/imunita-nachlazeni,"Imunita, obranyschopnost","Imunita, obranyschopnost | VITAR, s.r.o.","Deštivé a zimní měsíce bývají tradičně obdobími se zvýšeným výskytem virů a bakterií. Jejich útokům je třeba se bránit, což za nás obstarává zejména imunitní systém, který je jakýmsi štítem pro náš organizmus. Vyplatí se ho proto posilovat a myslet na něj nejen v rizikových měsících. Ke správné funkci imunitního systému a posilování obranyschopnosti organizmu přispívají vitaminy (A, B, C, D), minerální látky (zinek, železo) i bylinné extrakty. Ty najdete v potravě i našich doplňcích stravy, které nabízejí výběr z nejrůznějších forem vitaminů, minerálů a bylinných extraktů (tablety, šumivé tablety, kapsle, sypké směsi, bylinné elixíry a další). Vybrat si také můžete jednotlivé vitaminy a minerální látky nebo jejich vhodně namíchané směsi, třeba v komplexních multivitaminových přípravcích.",3872,https://www.vitar.cz/produkty/imunita-nachlazeni/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/vzhled-stihla-linie,"Vzhled, štíhlá linie","Vzhled, štíhlá linie | VITAR, s.r.o.","Vhodná výživa vlasů, nehtů i pokožky patří mezi klíčové faktory jejich stavu a vzhledu. Proto je třeba myslet na pravidelné dodávání klíčových vitaminů, minerálů, bylinných extraktů a dalších aktivních látek, které se starají o jejich výživu. Vlasy určitě ocení komplexní péči od kořínků, kterou jim poskytne doplněk stravy Revitalon Forte pro silné a krásné vlasy, vaše pokožka pak třeba Vitar Super beta-karoten, komplexní doplněk stravy pro zdravou pokožku a krásné opálení. Kdo chce omezit příjem cukru ve stravě, ten zase ocení moderní sladidla Irbis, která nabízejí několik druhů a forem sladidel ze stévie, sacharinu, sukralózy či aspartamu.",3742,https://www.vitar.cz/produkty/vzhled-stihla-linie/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/stres-unava-doplneni-energie,"Stres, únava, doplnění energie","Stres, únava, doplnění energie | VITAR, s.r.o.","Na únavu a vyčerpání si stěžuje řada lidí. Mnohdy přitom stačí málo, abychom se cítili lépe. Proti ztrátě energie se dá bojovat například pohybem, relaxací, dostatečným příjmem tekutin nebo úpravou jídelníčku. Ten by měl obsahovat dostatek energie i vitaminů a minerálních látek přispívajících ke snížení míry únavy a vyčerpání. Mezi takové patří například magnézium, vitamin C, vitaminy skupiny B (B-komplex), železo a další, které pohodlně a v dostatečném množství můžete přijímat prostřednictvím našich doplňků stravy v nejrůznějších formách. Rychlou energii vám pak dodá Energit Hroznový cukr, pro tvorbu energie je klíčový také koenzym Q10.",3639,https://www.vitar.cz/produkty/stres-unava-doplneni-energie/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/srdce-krevni-obeh,"Srdce, krevní oběh","Srdce, krevní oběh | VITAR, s.r.o.","Srdce patří ke klíčovým orgánům člověka a stejně důležitý je pro chod organizmu i celý kardiovaskulární systém. Proto je třeba se o něj náležitě starat – hýbat se, sportovat, jíst zdravě. Pomoci mohou i doplňky stravy, které přispívají ke správné srdeční činnosti, například nenasycené mastné kyseliny EPA a DHA, které známe spíše pod souhrnným názvem omega 3. Pro tvorbu krvinek a červeného krevního barviva (hemoglobinu) je zase důležité železo nebo kyselina listová. Hemoglobin zajišťuje okysličování organizmu a tím i jeho odolnost a výkonnost. Nepostradatelný pro náš organizmus je pak koenzym Q10, který je nezbytný pro produkci energie. S přibývajícím věkem přitom v našem těle klesá…",3768,https://www.vitar.cz/produkty/srdce-krevni-obeh/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/detoxikace-odkyseleni-traveni,"Detoxikace, odkyselení, trávení","Detoxikace, odkyselení, trávení | VITAR, s.r.o.","Detoxikací se tělo zbavuje škodlivých látek, které se v něm usadily a mohou poškozovat naše zdraví i různé tělesné funkce. Náš organizmus samozřejmě má samo očistné schopnosti, které obstarávají zejména játra a ledviny, jenže potřebuje i naši součinnost. Hodí se třeba nejrůznější účinné látky v čele se staletími prověřenými bylinkami, jakými jsou ostropestřec mariánský, chlorela, aloe vera nebo kopřiva. Dodat tělu je můžete třeba formou doplňků stravy, které mohou mít řadu podob. My nabízíme chutné nápoje, které si připravíte díky šumivým tabletám, i klasické polykací tablety s obsahem rostlinných extraktů. Při nadměrné konzumaci těžce stravitelného jídla a alkoholu pomáhá Vyprošťovák a využít můžete také klasickou sodu v prášku či tabletách.",3849,https://www.vitar.cz/produkty/detoxikace-odkyseleni-traveni/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/mocove-cesty-intimni-zdravi,"Močové cesty, intimní zdraví","Močové cesty, intimní zdraví | VITAR, s.r.o.","Močové cesty a brusinky, to je spojení, které zná téměř každý. Využijte sílu brusinek, které mají příznivý vliv na močové cesty a mohou zároveň pozitivně přispět ke zvýšení odolnosti proti virům a bakteriím. Najdete je v našich doplňcích stravy, které obsahují i další látky, které podle tradiční medicíny mohou příznivě působit na ledviny, močový měchýř a močovou trubici. Příkladem může být bříza bělokorá, která má navíc močopudné účinky a patří mezi významné detoxikační byliny.",3036,https://www.vitar.cz/produkty/mocove-cesty-intimni-zdravi/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/ochrana-pred-komary-klistaty-a-parazity,"Ochrana před komáry, klíšťaty a parazity","Ochrana před komáry, klíšťaty a parazity | VITAR, s.r.o.","Komáři, klíšťata, vši a další dotěrný a nebezpečný hmyz dokáže nejen otrávit příjemné letní dny, ale také způsobit závažné zdravotní potíže. Komáři i klíšťata jsou přenašeči celé řady nemocí, kterým je vhodné se bránit především prevencí, tedy tak, abychom nemoc vůbec nedostali. Ideálním prostředkem ochrany před lezoucím i létajícím hmyzem jsou účinné repelenty. Jedničkou v českých i slovenských lékárnách jsou podle IMS dat repelenty Predator, z nichž si vybere každý – nabízíme klasické repelenty i silnější varianty Forte nebo Maxx nebo mezi rybáři a lovci oblíbenou Outdoor impregnaci. Predator pomůže i proti vším, a to jak při prevenci, tak při jejich výskytu (Predator Parazit). V domácí i cestovní výbavě se hodí mít také Predator Gel po bodnutí, který zklidňuje pokožku v případě, že jste se zapomněli nebo z nějakého důvodu nemohli před bodavým hmyzem dostatečně ochránit.",3698,https://www.vitar.cz/produkty/ochrana-pred-komary-klistaty-a-parazity/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/pohybovy-aparat,Pohybový aparát,"Pohybový aparát | VITAR, s.r.o.","Velmi oblíbenou minerální látkou spojenou s pohybem je hořčík neboli magnézium, potřebný je také vápník. Nebýt hořčíku, nebylo by energie, tedy ani pohybu. Díky doplňkům stravy od VITARu ho můžete pravidelně přijímat v různých formách – jednorázových sáčcích (stick pack), šumivých tabletách nebo klasických polykacích tabletách. Vypořádat se musíme i s namáhanými klouby. Základem zdravých kloubů je zdravá chrupavka, která je jakýmsi tlumičem či polštářem. Stejně jako auto potřebuje pro hladký a bezproblémový chod olej, i chrupavka si žádá své „mazivo“ v podobě vhodné kloubní výživy. Ta obsahuje například glukosamin nebo chondroitin, léčivé látky působící při osteoartróze, nebo kolagen, který je základní stavební hmotou pojivových tkání. Všechny tyto účinné látky obsahuje Maxi Vita Exclusive Kloubní výživa, kolagen několika typů pak najdete v Maxi Vita Kolagen Forte+.",3930,https://www.vitar.cz/produkty/pohybovy-aparat/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/retail,Retail,"Retail | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",3084,https://www.vitar.cz/produkty/retail/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/lekarny,Lékárny,"Lékárny | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",3082,https://www.vitar.cz/produkty/lekarny/
vitar.cz,category_or_listing,move_to_veterina_shop,dedicated VITAR Veterina e-shop / domain TBD,Pro zvířata,"Pro zvířata | VITAR, s.r.o.","Také zvířata potřebují dostatek vitaminů, minerálů a dalších důležitých látek, aby jejich organizmus správně fungoval. Doplnit je mohou kvalitními veterinárními přípravky Vitar Veterinae.",3074,https://www.vitar.cz/produkty/pro-zvirata/
vitar.cz,corporate_group,move_to_group_web,vitar-group.cz/homepage,VITAR : Tradiční český výrobce vitaminových doplňků,"VITAR, s.r.o.: Vitaminy, minerální látky, doplňky stravy",Jsme tradiční český výrobce vitaminových doplňků s historií od roku 1990. Pomáháme lidem vést zdravější život prostřednictvím kvalitních doplňků stravy i řadou projektů.,6377,https://www.vitar.cz/homepage/
vitar.cz,category_or_listing,rebuild_on_vitar_cz,vitar.cz/produkty/vyprostovak,Vyprošťovák,"Vyprošťovák | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",2190,https://www.vitar.cz/produkty/vyprostovak/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/maxivita/bylinne-elixiry,Maxi Vita Bylinné elixíry,"Maxi Vita Bylinné elixíry | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",3023,https://www.vitar.cz/znacky/maxivita/bylinne-elixiry/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/maxivita/horke-napoje,Maxi Vita Horké nápoje,"Maxi Vita Horké nápoje | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",2397,https://www.vitar.cz/znacky/maxivita/horke-napoje/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/irbis/aspartam,Irbis Aspartam,"Irbis Aspartam | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",2238,https://www.vitar.cz/znacky/irbis/aspartam/
vitar.cz,brand_landing,keep_on_vitar_cz,vitar.cz/znacky/irbis/stevie,Irbis Stévie,"Irbis Stévie | VITAR, s.r.o.","Jsme tradiční český výrobce a distributor vitaminových doplňků, jednička na trhu ve svém oboru v obchodních řetězcích a drogeriích v Česku a na Slovensku. Naše rodinná firma vznikla již v roce 1990 a dnes patří k předním českým producentům. Vitaminy, minerální látky a další doplňky stravy nabízíme i v lékárnách, vyvážíme je také do zahraničí.",2346,https://www.vitar.cz/znacky/irbis/stevie/
